Component,Quantity,Item,Vendor,Price Per Item,Line Total,Item link
Tension Arm,1,"Precision Stainless Steel Extension Spring, 1.0"" Length, .250"" OD, .026"" Wire Diameter",mcmaster.com,$4.29,$4.29,http://www.mcmaster.com/#catalog/122/1265/=114htt8
Tension Arm,1,"Steel Extension Spring Anchor Stud, Standard, 1/4""-20 Thread, 1-1/4"" Overall Length",mcmaster.com,$3.22,$3.22,http://www.mcmaster.com/#catalog/122/1264/=114hua6
Rollers,1,"18-8 Stainless Steel Button-Head Socket Cap Screw, 4-40 Thread, 1"" Length",mcmaster.com,$4.54,$4.54,http://www.mcmaster.com/#catalog/122/3128/=114hutl
Rollers,6,"Black-Finish Aluminum Unthreaded Spacer, 1/2"" OD, 1/4"" Length, #1/4 Screw Size",mcmaster.com,$2.69,$16.14,http://www.mcmaster.com/#catalog/122/3283/=114hva5
Cleaning Station,1,"Low-Strength Steel Extra-Wide Thin Hex Nut, Black Oxide, 1/4""-20 Thread Size, 1/2"" Wide, 11/64"" High",mcmaster.com,$6.05,$6.05,http://www.mcmaster.com/#catalog/122/3209/=114hwkl
Cleaning Station,1,"Black-Oxide 18-8 Stainless Steel Flat Washer, Oversized, 1/4"" Screw Size, 0.266"" ID, 1.500"" OD",mcmaster.com,$7.30,$7.30,http://www.mcmaster.com/#catalog/122/3239/=114hx86
Rollers,8,"303 Stainless Steel Shaft with Retaining Ring Grooves, 1/4"" OD, 3"" Overall Length",mcmaster.com,$4.52,$36.16,http://www.mcmaster.com/#catalog/122/3298/=114hz0p
Rollers,1,"Stainless Steel External Retaining Ring, for 1/4"" Shaft Diameter, packs of 10",mcmaster.com,$8.50,$8.50,http://www.mcmaster.com/#catalog/122/3298/=114hzwu
Rollers,8,"Steel Ball Bearing--ABEC-1, Double Shielded, No. R4A for 1/4"" Shaft Diameter, 3/4"" OD",mcmaster.com,$6.90,$55.20,http://www.mcmaster.com/#catalog/122/1187/=114hypo
Rollers,1,"Type 316 Stainless Steel Button-Head Socket Cap Screw, 4-40 Thread, 1/2"" Length, packs of 50",mcmaster.com,$2.98,$2.98,http://www.mcmaster.com/#catalog/122/1122/=114hy3p
Cleaning Station,2,Standard Gearmotor - 1 RPM (3-12V),sparkfun.com,$24.95,$49.90,https://www.sparkfun.com/products/12219
Rollers,1,"Pololu Universal Aluminum Mounting Hub for 1/4″ Shaft, #4-40 Holes (2-Pack)",pololu.com,$7.95,$7.95,https://www.pololu.com/product/1993
Tension Arm,1,Bourns Inc. EM14A0D-C24-L064N ENCODER OPT ROTARY 64PPR WO/SW,digikey.com,$29.18,$29.18,http://www.digikey.com/product-detail/en/EM14A0D-C24-L064N/EM14A0D-C24-L064N-ND/2537991
Electronics,1,Switchcraft EHUSBBAX USB-B to USB-A Panel Mount Connector,markertek.com,$6.24,$6.24,http://www.markertek.com/product/ehusbba/switchcraft-ehusbbax-usb-b-to-usb-a-panel-mount-connector-silver
,,,,,,
,,,,,,
